alpha,CL,CD,CDp,CM,Extra_0,Extra_1,Extra_2,Extra_3,Velocity
0.0,0.0,0.05781,0.01274,-0.0,1.0,1.0,1.0,160.0,1
1.091,0.0452,0.05835,0.01325,0.0071,1.0,1.0,1.0,160.0,1
2.182,0.0899,0.06005,0.01484,0.0134,1.0,1.0,1.0,160.0,1
3.273,0.1327,0.06311,0.01774,0.018,1.0,1.0,1.0,160.0,1
4.364,0.1722,0.0678,0.02227,0.0204,1.0,1.0,1.0,160.0,1
5.455,0.2075,0.07435,0.02872,0.0201,1.0,1.0,1.0,160.0,1
6.545,0.2388,0.08284,0.03728,0.0175,1.0,1.0,1.0,160.0,1
7.636,0.2679,0.09308,0.04793,0.0129,1.0,1.0,1.0,160.0,1
8.727,0.2969,0.10463,0.06052,0.0072,1.0,1.0,1.0,160.0,1
9.818,0.3278,0.11694,0.07493,0.0008,1.0,1.0,1.0,160.0,1
10.909,0.3616,0.12958,0.09112,-0.006,1.0,1.0,1.0,160.0,1
12.0,0.3985,0.14237,0.10913,-0.0131,1.0,1.0,1.0,160.0,1
0.0,0.0,0.01754,0.00811,-0.0,1.0,1.0,1.0,160.0,20
1.091,0.2403,0.01709,0.00783,-0.0281,0.9387,1.0,5.9002,160.0,20
2.182,0.3916,0.01559,0.00622,-0.0305,0.8076,1.0,13.8363,160.0,20
3.273,0.4789,0.0156,0.00538,-0.0206,0.6562,1.0,22.8967,160.0,20
4.364,0.5659,0.01669,0.00521,-0.0123,0.4903,1.0,32.8622,160.0,20
5.455,0.6467,0.01898,0.00581,-0.0042,0.3114,1.0,43.7702,160.0,20
6.545,0.7272,0.02298,0.00788,0.003,0.185,1.0,51.7622,160.0,20
7.636,0.8173,0.02846,0.01173,0.0084,0.1295,1.0,55.5068,160.0,20
8.727,0.9011,0.03615,0.01816,0.0139,0.1029,1.0,57.4535,160.0,20
9.818,0.9456,0.04811,0.02936,0.0218,0.0911,1.0,58.3852,160.0,20
10.909,0.8774,0.06733,0.04823,0.0307,0.091,1.0,58.3936,160.0,20
0.0,0.0,0.00956,0.00345,0.0,0.895,0.895,8.5906,152.4092,50
1.091,0.1448,0.00981,0.00342,-0.0009,0.8042,0.9504,14.0405,155.852,50
2.182,0.3222,0.01034,0.00323,-0.0109,0.6648,0.9836,22.3817,158.2846,50
3.273,0.4702,0.01093,0.00282,-0.017,0.5043,1.0,32.0132,160.0,50
4.364,0.5671,0.01187,0.00274,-0.0131,0.3534,1.0,41.1802,160.0,50
5.455,0.6569,0.01356,0.00321,-0.0079,0.205,1.0,50.4664,160.0,50
6.545,0.7411,0.01601,0.00443,-0.0016,0.115,1.0,56.5454,160.0,50
7.636,0.8235,0.019,0.00625,0.0051,0.0791,1.0,59.3983,160.0,50
8.727,0.9082,0.02287,0.00869,0.0108,0.0613,1.0,61.1279,160.0,50
9.818,0.9946,0.02747,0.0121,0.0157,0.0504,1.0,62.4073,160.0,50
10.909,1.0685,0.03376,0.01704,0.0211,0.0434,1.0,63.3573,160.0,50
12.0,1.1179,0.04201,0.02336,0.0274,0.0388,1.0,64.0448,160.0,50
0.0,0.0,0.00645,0.00128,-0.0,0.8113,0.8113,13.6153,147.3855,100
1.091,0.1125,0.00674,0.00136,0.0039,0.7033,0.8961,20.0783,152.4765,100
2.182,0.2318,0.00749,0.00157,0.006,0.5796,0.9531,27.488,156.0277,100
3.273,0.387,0.00859,0.00185,-0.0008,0.4336,0.9787,36.2925,157.8723,100
4.364,0.5522,0.00989,0.00214,-0.0107,0.2711,0.995,46.2762,159.3982,100
5.455,0.672,0.01131,0.00255,-0.0117,0.1448,1.0,54.4398,160.0,100
6.545,0.7619,0.01297,0.00333,-0.0062,0.083,1.0,59.0546,160.0,100
7.636,0.8504,0.01478,0.0044,-0.0002,0.0575,1.0,61.547,160.0,100
8.727,0.9355,0.01718,0.00591,0.006,0.0444,1.0,63.2152,160.0,100
9.818,1.0215,0.01992,0.00774,0.0114,0.0362,1.0,64.4903,160.0,100
10.909,1.0996,0.02346,0.01016,0.0171,0.0309,1.0,65.4639,160.0,100
12.0,1.16,0.028,0.0133,0.0241,0.0275,1.0,66.1821,160.0,100
0.0,-0.0,0.00577,0.00074,0.0,0.7536,0.7536,17.0709,143.9291,150
1.091,0.1143,0.00594,0.00082,0.0027,0.6399,0.8512,23.872,149.7732,150
2.182,0.2284,0.00649,0.00101,0.0054,0.5192,0.9232,31.1163,154.1269,150
3.273,0.3507,0.00741,0.0013,0.006,0.3903,0.9678,38.9248,157.0418,150
4.364,0.5047,0.00871,0.00171,-0.0012,0.2452,0.9845,47.9033,158.3647,150
5.455,0.6602,0.01023,0.00228,-0.0094,0.1237,0.9966,55.9137,159.5913,150
6.545,0.7747,0.01161,0.00293,-0.0088,0.0702,1.0,60.2203,160.0,150
7.636,0.8652,0.01305,0.00374,-0.0031,0.0489,1.0,62.5972,160.0,150
8.727,0.9545,0.01487,0.00487,0.0027,0.0376,1.0,64.2531,160.0,150
9.818,1.0449,0.017,0.00626,0.0078,0.0308,1.0,65.4981,160.0,150
10.909,1.1314,0.01967,0.00805,0.0127,0.0261,1.0,66.4981,160.0,150
12.0,1.2028,0.02322,0.01046,0.0189,0.023,1.0,67.2306,160.0,150
0.0,-0.0,0.00549,0.00053,0.0,0.7089,0.7089,19.7413,141.2586,200
1.091,0.1162,0.00561,0.00059,0.0019,0.5945,0.8128,26.5913,147.4766,200
2.182,0.2318,0.00604,0.00077,0.004,0.4751,0.8954,33.7771,152.4374,200
3.273,0.3466,0.00682,0.00103,0.0061,0.3534,0.9523,41.1843,155.9701,200
4.364,0.478,0.00798,0.00144,0.0041,0.2254,0.981,49.1591,158.0594,200
5.455,0.6301,0.0094,0.00202,-0.003,0.1172,0.9921,56.3846,159.0534,200
6.545,0.7827,0.01085,0.00275,-0.0104,0.062,0.9999,61.0408,159.9921,200
7.636,0.8749,0.01208,0.00342,-0.005,0.044,1.0,63.2654,160.0,200
8.727,0.9651,0.01368,0.00438,0.0008,0.0335,1.0,64.9714,160.0,200
9.818,1.0579,0.01547,0.00552,0.0057,0.0276,1.0,66.1505,160.0,200
10.909,1.1491,0.01777,0.00704,0.0101,0.0234,1.0,67.1282,160.0,200
12.0,1.2318,0.02058,0.00891,0.0151,0.0202,1.0,67.9471,160.0,200
0.0,0.0,0.00542,0.00048,-0.0,0.6939,0.6939,20.6415,140.3583,220
1.091,0.1168,0.00553,0.00054,0.0017,0.5798,0.7994,27.4752,146.6742,220
2.182,0.233,0.00593,0.0007,0.0035,0.4609,0.8855,34.6378,151.8365,220
3.273,0.3482,0.00668,0.00098,0.0056,0.3398,0.9446,42.0164,155.4747,220
4.364,0.474,0.00778,0.00137,0.0049,0.2169,0.9783,49.702,157.8395,220
5.455,0.6226,0.00916,0.00194,-0.0015,0.114,0.9907,56.6162,158.914,220
6.545,0.7739,0.01054,0.00264,-0.0085,0.0614,0.9986,61.1161,159.8284,220
7.636,0.8783,0.01177,0.00332,-0.0056,0.0426,1.0,63.4715,160.0,220
8.727,0.9692,0.01326,0.00421,0.0001,0.0327,1.0,65.1209,160.0,220
9.818,1.0628,0.01492,0.00527,0.0049,0.0267,1.0,66.3431,160.0,220
10.909,1.1559,0.01707,0.00668,0.0092,0.0227,1.0,67.3128,160.0,220
12.0,1.2408,0.01977,0.00848,0.0139,0.0196,1.0,68.1168,160.0,220
