time,zVel_mps,airDensity
0,0,1.19
0.01,0,1.19
0.02,0,1.19
0.029,0,1.19
0.032,0.046,1.19
0.036,0.482,1.19
0.039,0.764,1.19
0.042,1.197,1.19
0.048,2.101,1.19
0.057,3.636,1.19
0.067,5.384,1.19
0.071,6.073,1.19
0.077,7.135,1.19
0.083,8.15,1.19
0.092,9.657,1.19
0.095,10.168,1.19
0.099,10.927,1.19
0.105,11.823,1.19
0.113,13.159,1.19
0.116,13.611,1.19
0.12,14.29,1.19
0.126,15.301,1.19
0.135,16.703,1.19
0.145,18.32,1.19
0.155,19.976,1.19
0.166,21.85,1.19
0.171,22.694,1.19
0.179,23.926,1.19
0.189,25.566,1.19
0.198,27.127,1.19
0.207,28.594,1.19
0.221,30.789,1.19
0.241,34.066,1.19
0.271,38.95,1.189
0.304,44.206,1.189
0.353,51.927,1.189
0.399,58.829,1.189
0.449,66.236,1.188
0.456,67.266,1.188
0.467,68.808,1.188
0.482,71.105,1.188
0.504,74.251,1.188
0.537,78.949,1.188
0.549,80.733,1.187
0.568,83.4,1.187
0.593,87.022,1.187
0.613,89.855,1.187
0.643,94.073,1.187
0.672,98.108,1.186
0.701,102.107,1.186
0.744,108.059,1.185
0.762,110.45,1.185
0.785,113.532,1.185
0.803,115.985,1.185
0.83,119.62,1.184
0.848,121.918,1.184
0.874,125.336,1.184
0.903,129.023,1.183
0.924,131.66,1.183
0.943,134.156,1.183
0.966,137.065,1.182
0.983,139.129,1.182
1.008,142.195,1.182
1.017,143.324,1.181
1.031,145.008,1.181
1.052,147.514,1.181
1.059,148.409,1.181
1.07,149.746,1.18
1.087,151.742,1.18
1.112,154.71,1.18
1.152,159.352,1.179
1.171,161.481,1.179
1.189,163.628,1.178
1.217,166.654,1.178
1.257,171.095,1.177
1.261,171.51,1.177
1.267,172.132,1.177
1.276,173.133,1.177
1.29,174.627,1.176
1.311,176.828,1.176
1.316,177.393,1.176
1.324,178.233,1.176
1.336,179.479,1.175
1.354,181.316,1.175
1.366,182.457,1.175
1.383,184.104,1.174
1.387,184.444,1.174
1.393,184.938,1.174
1.401,185.632,1.174
1.409,186.244,1.174
1.42,187.096,1.174
1.428,187.711,1.173
1.435,188.094,1.173
1.446,188.503,1.173
1.451,188.728,1.173
1.459,189.064,1.173
1.472,189.541,1.172
1.49,190.201,1.172
1.499,190.49,1.172
1.508,190.744,1.172
1.521,191.115,1.171
1.527,191.288,1.171
1.532,191.378,1.171
1.54,191.362,1.171
1.544,191.314,1.171
1.551,191.256,1.171
1.558,191.271,1.171
1.569,191.304,1.17
1.575,191.28,1.17
1.584,191.262,1.17
1.587,191.273,1.17
1.591,191.287,1.17
1.598,191.278,1.17
1.601,191.258,1.17
1.606,191.228,1.169
1.614,191.212,1.169
1.618,191.217,1.169
1.624,191.214,1.169
1.632,191.159,1.169
1.644,191.053,1.169
1.648,191.025,1.168
1.654,190.974,1.168
1.663,190.853,1.168
1.667,190.792,1.168
1.672,190.694,1.168
1.68,190.545,1.168
1.686,190.441,1.168
1.694,190.274,1.167
1.707,189.99,1.167
1.717,189.736,1.167
1.732,189.326,1.167
1.754,188.677,1.166
1.781,187.855,1.166
1.821,186.588,1.165
1.846,185.797,1.164
1.879,184.753,1.164
1.929,183.204,1.163
1.972,181.895,1.162
2.022,180.387,1.161
2.072,178.897,1.16
2.122,177.426,1.159
2.172,175.973,1.158
2.222,174.539,1.157
2.272,173.123,1.156
2.322,171.723,1.155
2.372,170.341,1.154
2.422,168.974,1.153
2.472,167.623,1.152
2.522,166.288,1.151
2.572,164.969,1.15
2.622,163.665,1.149
2.672,162.375,1.148
2.722,161.098,1.148
2.772,159.837,1.147
2.822,158.59,1.146
2.872,157.354,1.145
2.922,156.131,1.144
2.972,154.922,1.143
3.022,153.727,1.142
3.072,152.543,1.141
3.122,151.37,1.141
3.167,150.317,1.14
3.217,149.167,1.139
3.267,148.029,1.138
3.317,146.902,1.137
3.367,145.784,1.137
3.412,144.798,1.136
3.462,143.701,1.135
3.512,142.615,1.134
3.562,141.538,1.133
3.612,140.47,1.133
3.662,139.411,1.132
3.712,138.363,1.131
3.762,137.325,1.13
3.812,136.296,1.13
3.862,135.275,1.129
3.912,134.262,1.128
3.962,133.259,1.127
4.012,132.265,1.127
4.062,131.278,1.126
4.112,130.299,1.125
4.162,129.328,1.124
4.212,128.365,1.124
4.262,127.41,1.123
4.312,126.463,1.122
4.362,125.523,1.122
4.412,124.59,1.121
4.462,123.664,1.12
4.512,122.746,1.119
4.562,121.834,1.119
4.612,120.929,1.118
4.662,120.031,1.117
4.712,119.139,1.117
4.762,118.254,1.116
4.812,117.375,1.115
4.862,116.502,1.115
4.912,115.635,1.114
4.962,114.775,1.113
5.012,113.921,1.113
5.062,113.074,1.112
5.112,112.231,1.112
5.162,111.393,1.111
5.212,110.561,1.11
5.262,109.734,1.11
5.312,108.913,1.109
5.362,108.098,1.109
5.412,107.289,1.108
5.462,106.485,1.107
5.512,105.684,1.107
5.562,104.887,1.106
5.612,104.096,1.106
5.662,103.311,1.105
5.712,102.531,1.105
5.762,101.756,1.104
5.812,100.986,1.104
5.862,100.219,1.103
5.912,99.456,1.103
5.962,98.697,1.102
6.012,97.943,1.102
6.062,97.194,1.101
6.112,96.449,1.1
6.162,95.709,1.1
6.212,94.973,1.099
6.262,94.24,1.099
6.312,93.51,1.098
6.362,92.785,1.098
6.412,92.064,1.097
6.462,91.348,1.097
6.512,90.635,1.096
6.562,89.925,1.096
6.612,89.218,1.096
6.662,88.514,1.095
6.712,87.814,1.095
6.762,87.118,1.094
6.812,86.426,1.094
6.862,85.738,1.093
6.912,85.054,1.093
6.962,84.372,1.092
7.012,83.693,1.092
7.062,83.017,1.091
7.112,82.343,1.091
7.162,81.673,1.091
7.212,81.005,1.09
7.262,80.341,1.09
7.312,79.682,1.089
7.362,79.025,1.089
7.412,78.372,1.088
7.462,77.72,1.088
7.512,77.07,1.088
7.562,76.423,1.087
7.612,75.778,1.087
7.662,75.136,1.086
7.712,74.498,1.086
7.762,73.864,1.086
7.812,73.232,1.085
7.862,72.602,1.085
7.912,71.975,1.084
7.962,71.349,1.084
8.012,70.726,1.084
8.062,70.105,1.083
8.112,69.486,1.083
8.162,68.869,1.082
8.212,68.255,1.082
8.262,67.643,1.082
8.312,67.034,1.081
8.362,66.428,1.081
8.412,65.824,1.081
8.462,65.223,1.08
8.512,64.623,1.08
8.562,64.025,1.08
8.612,63.429,1.079
8.662,62.834,1.079
8.712,62.241,1.079
8.762,61.65,1.078
8.812,61.061,1.078
8.862,60.474,1.078
8.912,59.889,1.077
8.962,59.307,1.077
9.012,58.727,1.077
9.062,58.149,1.076
9.112,57.573,1.076
9.162,56.999,1.076
9.212,56.426,1.075
9.262,55.855,1.075
9.312,55.285,1.075
9.362,54.717,1.075
9.412,54.149,1.074
9.462,53.583,1.074
9.512,53.019,1.074
9.562,52.456,1.073
9.612,51.895,1.073
9.662,51.336,1.073
9.712,50.779,1.073
9.762,50.224,1.072
9.812,49.671,1.072
9.862,49.12,1.072
9.912,48.569,1.071
9.962,48.02,1.071
10.012,47.471,1.071
10.062,46.924,1.071
10.112,46.377,1.07
10.162,45.83,1.07
10.212,45.285,1.07
10.262,44.742,1.07
10.312,44.2,1.069
10.362,43.66,1.069
10.412,43.122,1.069
10.462,42.585,1.069
10.512,42.05,1.069
10.562,41.516,1.068
10.612,40.984,1.068
10.662,40.453,1.068
10.712,39.923,1.068
10.762,39.394,1.067
10.812,38.866,1.067
10.862,38.338,1.067
10.912,37.811,1.067
10.962,37.284,1.067
11.012,36.757,1.066
11.062,36.232,1.066
11.112,35.708,1.066
11.162,35.185,1.066
11.212,34.663,1.066
11.262,34.143,1.065
11.312,33.624,1.065
11.362,33.106,1.065
11.412,32.589,1.065
11.462,32.073,1.065
11.512,31.559,1.065
11.562,31.045,1.064
11.612,30.531,1.064
11.662,30.019,1.064
11.712,29.507,1.064
11.762,28.997,1.064
11.812,28.487,1.064
11.862,27.977,1.063
11.912,27.469,1.063
11.962,26.961,1.063
12.012,26.453,1.063
12.062,25.946,1.063
12.112,25.439,1.063
12.162,24.933,1.063
12.212,24.426,1.062
12.262,23.921,1.062
12.312,23.417,1.062
12.362,22.913,1.062
12.412,22.41,1.062
12.462,21.907,1.062
12.512,21.405,1.062
12.562,20.903,1.062
12.612,20.402,1.061
12.662,19.902,1.061
12.712,19.403,1.061
12.762,18.904,1.061
12.812,18.406,1.061
12.862,17.909,1.061
12.912,17.412,1.061
12.962,16.916,1.061
13.012,16.42,1.061
13.062,15.924,1.061
13.112,15.429,1.06
13.162,14.935,1.06
13.212,14.44,1.06
13.262,13.946,1.06
13.312,13.453,1.06
13.362,12.96,1.06
13.412,12.467,1.06
13.462,11.974,1.06
13.512,11.483,1.06
13.562,10.991,1.06
13.612,10.5,1.06
13.662,10.009,1.06
13.712,9.519,1.06
13.762,9.028,1.06
13.812,8.538,1.06
13.862,8.049,1.06
13.912,7.559,1.059
13.962,7.071,1.059
14.012,6.582,1.059
14.062,6.093,1.059
14.112,5.605,1.059
14.162,5.118,1.059
14.212,4.631,1.059
14.262,4.144,1.059
14.312,3.658,1.059
14.362,3.172,1.059
14.412,2.687,1.059
14.462,2.201,1.059
14.512,1.717,1.059
14.562,1.232,1.059
14.612,0.748,1.059
14.662,0.261,1.059
14.712,-0.226,1.059
14.762,-0.713,1.059
14.865,-1.713,1.059
14.968,-2.713,1.059
15.072,-3.712,1.059
15.177,-4.712,1.059
15.284,-5.711,1.059
15.392,-6.711,1.059
15.503,-7.709,1.06
15.616,-8.708,1.06
15.733,-9.706,1.06
15.78,-10.099,1.06
15.781,-10.107,1.06
15.903,-11.105,1.06
16.03,-12.102,1.06
16.162,-13.099,1.06
16.3,-14.096,1.06
16.447,-15.092,1.061
16.603,-16.088,1.061
16.772,-17.083,1.061
16.955,-18.075,1.062
17.157,-19.065,1.062
17.384,-20.052,1.063
17.644,-21.037,1.063
17.95,-22.013,1.064
18.327,-22.976,1.065
18.82,-23.92,1.066
19.32,-24.55,1.067
19.82,-24.95,1.069
20.32,-25.199,1.07
20.82,-25.35,1.071
21.32,-25.438,1.073
21.82,-25.487,1.074
22.32,-25.512,1.075
22.82,-25.521,1.077
23.32,-25.521,1.078
23.82,-25.514,1.08
24.32,-25.504,1.081
24.82,-25.492,1.082
25.32,-25.478,1.084
25.82,-25.462,1.085
26.32,-25.448,1.086
26.82,-25.432,1.088
27.32,-25.417,1.089
27.82,-25.402,1.09
28.32,-25.386,1.092
28.82,-25.371,1.093
